Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
"CCSP Certified Cloud Security Professional All-in-One Exam Guide, Second Edition 2nd Edition",Daniel Carter,1260456927,978-1260456929,Networking & Cloud Computing,"Comprehensive coverage of every domain on the CCSP exam This highly effective self-study guide covers all six domains of the 2019 release of the challenging Certified Cloud Security Professional exam as well as the CCSP Common Body of Knowledge, developed by the International Information Systems Security Certification Consortium (ISC)2®. CCSP Certified Cloud Security Professional All-in-One Exam Guide, Second Edition offers clear explanations, real-world examples, and practice questions that match the content, tone, and format of those on the actual exam. To aid in retention, each chapter includes exam tips that highlight key information, a summary that serves as a quick review of salient points, and practice questions that allow you to test your comprehension. ""Notes,"" ""Tips,"" and ""Cautions"" throughout provide additional insight. Covers all six exam domains: * Cloud Concepts, Architecture, and Design * Cloud Data Security * Cloud Platform & Infrastructure Security * Cloud Application Security * Cloud Security Operations * Legal, Risk, and Compliance Online content includes: * 300 practice questions","https://images-na.ssl-images-amazon.com/images/I/51Rb2tl4qFL._SX405_BO1,204,203,200_.jpg"
Official Google Cloud Certified Professional Cloud Architect Study Guide 1st Edition,Dan Sullivan,1119602440,978-1119602446,Networking & Cloud Computing,"Sybex's proven Study Guide format teaches Google Cloud Architect job skills and prepares you for this important new Cloud exam . The Google Cloud Certified Professional Cloud Architect Study Guide is the essential resource for anyone preparing for this highly sought-after, professional-level certification. Clear and accurate chapters cover 100% of exam objectives--helping you gain the knowledge and confidence to succeed on exam day. A pre-book assessment quiz helps you evaluate your skills, while chapter review questions emphasize critical points of learning. Detailed explanations of crucial topics include analyzing and defining technical and business processes, migration planning, and designing storage systems, networks, and compute resources. Written by Dan Sullivan--a well-known author and software architect specializing in analytics, machine learning, and cloud computing--this invaluable study guide includes access to the Sybex interactive online learning environment, which includes complete practice tests, electronic flash cards, a searchable glossary, and more. Providing services suitable for a wide range of applications, particularly in high-growth areas of analytics and machine learning, Google Cloud is rapidly gaining market share in the cloud computing world. Organizations are seeking certified IT professionals with the ability to deploy and operate infrastructure, services, and networks in the Google Cloud. Take your career to the next level by validating your skills and earning certification. Design and plan cloud solution architecture Manage and provision cloud infrastructure Ensure legal compliance and security standards Understand options for implementing hybrid clouds Develop solutions that meet reliability, business, and technical requirements The Google Cloud Certified Professional Cloud Architect Study Guide is a must-have for IT professionals preparing for certification to deploy and manage Google cloud services.","https://images-na.ssl-images-amazon.com/images/I/51Purts+Q2L._SX396_BO1,204,203,200_.jpg"
Practical Cloud Security: A Guide for Secure Design and Deployment 1st Edition,Chris Dotson,1492037516,978-1492037514,Networking & Cloud Computing,"With their rapidly changing architecture and API-driven automation, cloud platforms come with unique security challenges and opportunities. This hands-on book guides you through security best practices for multivendor cloud environments, whether your company plans to move legacy on-premises projects to the cloud or build a new infrastructure from the ground up. Developers, IT architects, and security professionals will learn cloud-specific techniques for securing popular cloud platforms such as Amazon Web Services, Microsoft Azure, and IBM Cloud. Chris Dotson--an IBM senior technical staff member--shows you how to establish data asset management, identity and access management, vulnerability management, network security, and incident response in your cloud environment.","https://images-na.ssl-images-amazon.com/images/I/51Cwg-pWwRL._SX379_BO1,204,203,200_.jpg"
Cloud Native Go: Building Reliable Services in Unreliable Environments 1st Edition,Matthew A. Titmus,1492076333,978-1492076339,Networking & Cloud Computing,"What do Docker, Kubernetes, and Prometheus have in common? All of these cloud native technologies are written in the Go programming language. This practical book shows you how to use Go's strengths to develop cloud native services that are scalable and resilient, even in an unpredictable environment. You'll explore the composition and construction of these applications, from lower-level features of Go to mid-level design patterns to high-level architectural considerations.

Each chapter builds on the lessons of the last, walking intermediate to advanced developers through Go to construct a simple but fully featured distributed key-value store. You'll learn best practices for adopting Go as your development language for solving cloud native management and deployment issues.

Learn how cloud native applications differ from other software architectures
Understand how Go can solve the challenges of designing scalable distributed services
Leverage Go's lower-level features, such as channels and goroutines, to implement a reliable cloud native service
Explore what ""service reliability"" is and what it has to do with cloud native
Apply a variety of patterns, abstractions, and tooling to build and manage complex distributed systems","https://images-na.ssl-images-amazon.com/images/I/41c1cmLHoTS._SX379_BO1,204,203,200_.jpg"
Guide to Cloud Computing for Business and Technology Managers: From Distributed Computing to Cloudware Applications 1st Edition,Vivek Kale,367377942,978-0367377946,Networking & Cloud Computing,"Guide to Cloud Computing for Business and Technology Managers: From Distributed Computing to Cloudware Applicationsunravels the mystery of cloud computing and explains how it can transform the operating contexts of business enterprises. It provides a clear understanding of what cloud computing really means, what it can do, and when it is practical to use. Addressing the primary management and operation concerns of cloudware, including performance, measurement, monitoring, and security, this pragmatic book: Introduces the enterprise applications integration (EAI) solutions that were a first step toward enabling an integrated enterprise Details service-oriented architecture (SOA) and related technologies that paved the road for cloudware applications Covers delivery models like IaaS, PaaS, and SaaS, and deployment models like public, private, and hybrid clouds Describes Amazon, Google, and Microsoft cloudware solutions and services, as well as those of several other players Demonstrates how cloud computing can reduce costs, achieve business flexibility, and sharpen strategic focus Unlike customary discussions of cloud computing, Guide to Cloud Computing for Business and Technology Managers: From Distributed Computing to Cloudware Applications emphasizes the key differentiator--that cloud computing is able to treat enterprise-level services not merely as discrete stand-alone services, but as Internet-locatable, composable, and repackageable building blocks for generating dynamic real-world enterprise business processes.","https://images-na.ssl-images-amazon.com/images/I/51XL3evykPL._SX331_BO1,204,203,200_.jpg"
"The Definitive Guide to Conversational AI with Dialogflow and Google Cloud: Build Advanced Enterprise Chatbots, Voice, and Telephony Agents on Google Cloud 1st ed. Edition",Lee Boonstra,1484270134,978-1484270134,Networking & Cloud Computing,"Build enterprise chatbots for web, social media, voice assistants, IoT, and telephony contact centers with Google's Dialogflow conversational AI technology. This book will explain how to get started with conversational AI using Google and how enterprise users can use Dialogflow as part of Google Cloud. It will cover the core concepts such as Dialogflow essentials, deploying chatbots on web and social media channels, and building voice agents including advanced tips and tricks such as intents, entities, and working with context. The Definitive Guide to Conversational AI with Dialogflow and Google Cloud also explains how to build multilingual chatbots, orchestrate sub chatbots into a bigger conversational platform, use virtual agent analytics with popular tools, such as BigQuery or Chatbase, and build voice bots. It concludes with coverage of more advanced use cases, such as building fulfillment functionality, building your own integrations, securing your chatbots, and building your own voice platform with the Dialogflow SDK and other Google Cloud machine learning APIs. After reading this book, you will understand how to build cross-channel enterprise bots with popular Google tools such as Dialogflow, Google Cloud AI, Cloud Run, Cloud Functions, and Chatbase. What You Will Learn Discover Dialogflow, Dialogflow Essentials, Dialogflow CX, and how machine learning is used Create Dialogflow projects for individuals and enterprise usage Work with Dialogflow essential concepts such as intents, entities, custom entities, system entities, composites, and how to track context Build bots quickly using prebuilt agents, small talk modules, and FAQ knowledge bases Use Dialogflow for an out-of-the-box agent review Deploy text conversational UIs for web and social media channels Build voice agents for voice assistants, phone gateways, and contact centers Create multilingual chatbots Orchestrate many sub-chatbots to build a bigger conversational platform Use chatbot analytics and test the quality of your Dialogflow agent See the new Dialogflow CX concepts, how Dialogflow CX fits in, and what's different in Dialogflow CX Who This Book Is For Everyone interested in building chatbots for web, social media, voice assistants, or contact centers using Google's conversational AI/cloud technology.","https://images-na.ssl-images-amazon.com/images/I/41hgpvWAVPS._SX348_BO1,204,203,200_.jpg"
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning 1st Edition,Valliappa Lakshmanan,1491974567,978-1491974568,Networking & Cloud Computing,"Learn how easy it is to apply sophisticated statistical and machine learning methods to real-world problems when you build on top of the Google Cloud Platform (GCP). This hands-on guide shows developers entering the data science field how to implement an end-to-end data pipeline, using statistical and machine learning methods and tools on GCP. Through the course of the book, you'll work through a sample business decision by employing a variety of data science approaches. Follow along by implementing these statistical and machine learning solutions in your own project on GCP, and discover how this platform provides a transformative and more collaborative way of doing data science. You'll learn how to: Automate and schedule data ingest, using an App Engine application Create and populate a dashboard in Google Data Studio Build a real-time analysis pipeline to carry out streaming analytics Conduct interactive data exploration with Google BigQuery Create a Bayesian model on a Cloud Dataproc cluster Build a logistic regression machine-learning model with Spark Compute time-aggregate features with a Cloud Dataflow pipeline Create a high-performing prediction model with TensorFlow Use your deployed model as a microservice you can access from both batch and real-time pipelines","https://images-na.ssl-images-amazon.com/images/I/51pfRa8hgZL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies,Victor Dantas,1800563302,978-1800563308,Networking & Cloud Computing,"Achieve your infrastructure goals and optimize business processes by designing robust, highly available, and dynamic solutions Key Features: Gain hands-on experience in designing and managing high-performance cloud solutions Leverage Google Cloud Platform to optimize technical and business processes using cutting-edge technologies and services Use Google Cloud Big Data, AI, and ML services to design scalable and intelligent data solutions Book Description: Google has been one of the top players in the public cloud domain thanks to its agility and performance capabilities. This book will help you design, develop, and manage robust, secure, and dynamic solutions to successfully meet your business needs. You'll learn how to plan and design network, compute, storage, and big data systems that incorporate security and compliance from the ground up. The chapters will cover simple to complex use cases for devising solutions to business problems, before focusing on how to leverage Google Cloud's Platform-as-a-Service (PaaS) and Software-as-a-Service (SaaS) capabilities for designing modern no-operations platforms. Throughout this book, you'll discover how to design for scalability, resiliency, and high availability. Later, you'll find out how to use Google Cloud to design modern applications using microservices architecture, automation, and Infrastructure-as-Code (IaC) practices. The concluding chapters then demonstrate how to apply machine learning and artificial intelligence (AI) to derive insights from your data. Finally, you will discover best practices for operating and monitoring your cloud solutions, as well as performing troubleshooting and quality assurance. By the end of this Google Cloud book, you'll be able to design robust enterprise-grade solutions using Google Cloud Platform. What You Will Learn: Get to grips with compute, storage, networking, data analytics, and pricing Discover delivery models such as IaaS, PaaS, and SaaS Explore the underlying technologies and economics of cloud computing Design for scalability, business continuity, observability, and resiliency Secure Google Cloud solutions and ensure compliance Understand operational best practices and learn how to architect a monitoring solution Gain insights into modern application design with Google Cloud Leverage big data, machine learning, and AI with Google Cloud Who this book is for: This book is for cloud architects who are responsible for designing and managing cloud solutions with GCP. You'll also find the book useful if you're a system engineer or enterprise architect looking to learn how to design solutions with Google Cloud. Moreover, cloud architects who already have experience with other cloud providers and are now beginning to work with Google Cloud will benefit from the book. Although an intermediate-level understanding of cloud computing and distributed apps is required, prior experience of working in the public and hybrid cloud domain is not mandatory.","https://images-na.ssl-images-amazon.com/images/I/41hnEn6kntL._SX404_BO1,204,203,200_.jpg"
Google Cloud Certified Associate Cloud Engineer All-in-One Exam Guide 1st Edition,Jack Hyman,1260473457,978-1260473452,Networking & Cloud Computing,"This self-paced guide provides complete coverage of the exam topics and prepares you to take the Google Cloud Certified Associate Cloud Engineer (ACE) exam with confidence. Written by a recognized expert in the field, Google Cloud Certified Associate Cloud Engineer All-in-One Exam Guide reinforces practical skills and contains realistic practice questions with detailed explanations for Google Cloud Platform (GCP) professionals, both beginner and intermediate. Beyond exam preparation, this guide also serves as a valuable on-the-job reference for anyone who deploys applications, monitors operations, and manages enterprise solutions on GCP. Book jacket.","https://images-na.ssl-images-amazon.com/images/I/51MkYCrsA6L._SX403_BO1,204,203,200_.jpg"
"Multi-Cloud Architecture and Governance: Leverage Azure, AWS, GCP, and VMware vSphere to build effective multi-cloud solutions",Jeroen Mulder,1800203195,978-1800203198,Networking & Cloud Computing,"Multi-cloud has emerged as one of the top cloud computing trends, with businesses wanting to reduce their reliance on only one vendor. But when organizations shift to multiple cloud services without a clear strategy, they may face certain difficulties, in terms of how to stay in control, how to keep all the different components secure, and how to execute the cross-cloud development of applications. This book combines best practices from different cloud adoption frameworks to help you find solutions to these problems.

With step-by-step explanations of essential concepts and practical examples, you'll begin by planning the foundation, creating the architecture, designing the governance model, and implementing tools, processes, and technologies to manage multi-cloud environments. You'll then discover how to design workload environments using different cloud propositions, understand how to optimize the use of these cloud technologies, and automate and monitor the environments. As you advance, you'll delve into multi-cloud governance, defining clear demarcation models and management processes. Finally, you'll learn about managing identities in multi-cloud: who's doing what, why, when, and where

By the end of this book, you'll be able to create, implement, and manage multi-cloud architectures with confidence

What you will learn
Get to grips with the core functions of multiple cloud platforms
Deploy, automate, and secure different cloud solutions
Design network strategy and get to grips with identity and access management for multi-cloud
Design a landing zone spanning multiple cloud platforms
Use automation, monitoring, and management tools for multi-cloud
Understand multi-cloud management with the principles of BaseOps, FinOps, SecOps, and DevOps
Define multi-cloud security policies and use cloud security tools
Test, integrate, deploy, and release using multi-cloud CI/CD pipelines","https://images-na.ssl-images-amazon.com/images/I/412pgQIad9S._SX404_BO1,204,203,200_.jpg"
Associative Economics: Spiritual Activity for the Common Good,Gary Lamb,1936367106,978-1936367108,Economics,"Associative economics is a philosophy of money developed from the ideas of Rudolf Steiner. It places human beings at the centre of all economic activity, replacing the power of unseen 'market forces' with personal freedom and responsibility.In this comprehensive book, Gary Lamb explains associative economics, its background and principles, and its potential to change our world, along with possible pitfalls. He gives examples of successful projects and offers practical small steps that we can make to improve our situation.This is a useful introduction to an important form of alternative economics.","https://images-na.ssl-images-amazon.com/images/I/41aasXJJ-hL._SX322_BO1,204,203,200_.jpg"
"The WSJ Guide to the 50 Economic Indicators That Really Matter: From Big Macs to ""Zombie Banks,"" the Indicators Smart Investors Watch to Beat the Market (Wall Street Journal Guides)","Simon Constable, Robert E. Wright",62001388,978-0062001382,Economics,"The Wall Street Journal Guide to the 50 Economic Indicators that Really Matter is a must-have guide for investors. WSJ columnist Simon Constable and respected financial historian Robert E. Wright offer valuable tips and insight to help investors forecast and exploit sea changes in the global macroeconomic climate. Unlike other investment handbooks, Constable and Wright's guide explores the not widely known economic indicators that the smartest investors watch closely in order to beat the stock market--from ""Big Macs"" to ""Zombie Banks."" Not only valuable and informative, The Wall Street Journal Guide to the 50 Economic Indicators that Really Matter is also wonderfully irreverent and endlessly entertaining, making it the most fun to read investors' guide on the market.","https://images-na.ssl-images-amazon.com/images/I/51tbLZttc7L._SX330_BO1,204,203,200_.jpg"
Innovation Economics: The Race for Global Advantage,"Robert D. Atkinson, Stephen J. Ezell",300205651,978-0300205657,Economics,"This important book delivers a critical wake-up call: a fierce global race for innovation advantage is under way, and while other nations are making support for technology and innovation a central tenet of their economic strategies and policies, America lacks a robust innovation policy. What does this portend? Robert Atkinson and Stephen Ezell, widely respected economic thinkers, report on profound new forces that are shaping the global economy—forces that favor nations with innovation-based economies and innovation policies. Unless the United States enacts public policies to reflect this reality, Americans face the relatively lower standards of living associated with a noncompetitive national economy.

The authors explore how a weak innovation economy not only contributed to the Great Recession but is delaying America's recovery from it and how innovation in the United States compares with that in other developed and developing nations. Atkinson and Ezell then lay out a detailed, pragmatic road map for America to regain its global innovation advantage by 2020, as well as maximize the global supply of innovation and promote sustainable globalization.","https://images-na.ssl-images-amazon.com/images/I/51zIbVGs9LL._SX325_BO1,204,203,200_.jpg"
Beyond Economics and Ecology: The Radical Thought of Ivan Illich,"Ivan Illich  (Author), Sajay Samuel (Editor), Jerry Brown (Preface)",714531588,978-0714531588,Economics,"Illich s theories on the effectiveness of cars, air travel, and energy showed that industrial progress actually hampers the speed and effectiveness we have as people who were born capable of walking to our desired destinations. Roads, airports, stations, traffic jams, all take away the benefits of using complicated engineered methods of travel, and make our actual travel times longer.""","https://images-na.ssl-images-amazon.com/images/I/41Jc4SMxhrL._SX311_BO1,204,203,200_.jpg"
Marxism and Ecological Economics: Toward a Red and Green Political Economy (Historical Materialism),Paul Burkett,1608460258,978-1608460250,Economics,"This book undertakes the first general assessment of ecological economics from a Marxist point of view, and shows how Marxist political economy can make a substantial contribution to ecological economics. The analysis is developed in terms of four basic issues: (1) nature and economic value; (2) the treatment of nature as capital; (3) the significance of the entropy law for economic systems; (4) the concept of sustainable development. In each case, it is shown that Marxism can help ecological economics fulfill its commitments to multi-disciplinarity, methodological pluralism, and historical openness. In this way, a foundation is constructed for a substantive dialogue between Marxists and ecological economists.

Paul Burkett, Ph.D. (1984) in Economics, Syracuse University, is Professor of Economics at Indiana State University, Terre Haute. His publications on Marxism and ecology include Marx and Nature: A Red and Green Perspective (St. Martin's Press, 1999) and many articles in scholarly journals.","https://images-na.ssl-images-amazon.com/images/I/51h+x7O1ddL._SX328_BO1,204,203,200_.jpg"
Global Economic Prospects,World Bank Group,1464812578,978-1464812576,Economics,"Global growth has eased but remains robust and is projected to reach 3.1 percent in 2018. It is expected to edge down in the next two years, to 2.9 percent by 2020, as global slack dissipates, trade and investment moderate, and financing conditions tighten. Growth in advanced economies is predicted to decelerate toward potential rates as monetary policy normalizes and the effects of U.S. fiscal stimulus wane. In emerging market and developing economies (EMDEs), growth in commodity importers will remain robust, while the rebound in commodity exporters is projected to mature during the next two years. Progress in per capita income growth will be uneven, however, remaining particularly subdued in Sub-Saharan Africa. Risks to the outlook remain tilted to the downside. The possibilities of escalating trade protectionism and disorderly financial market movements have increased substantially in recent months, and the risk of heightened geopolitical tensions continues to cloud the outlook. EMDE policymakers need to rebuild monetary and fiscal policy buffers and be prepared for rising global interest rates and possible episodes of financial market turbulence. In the longer run, EMDEs need to tackle ongoing structural challenges and boost potential growth, by promoting competitiveness, adaptability to technological change, and trade openness.Global Economic Prospects is a World Bank Group Flagship Report that examines global economic developments and prospects, with a special focus on emerging market and developing countries, on a semiannual basis (in January and June). The January edition includes in-depth analyses of topical policy challenges faced by these economies, while the June edition contains shorter analytical pieces.","https://images-na.ssl-images-amazon.com/images/I/41jO+CpJNvL._SX384_BO1,204,203,200_.jpg"
Economic Thought: A Brief History,"Heinz Kurz (Author), Jeremiah Riemer (Translator)",231172591,978-0231172592,Economics,"In this concise yet comprehensive history, Heinz D. Kurz traces the long arc of economic thought from its emergence in ancient Greece to its systematic presentation among the classical thinkers of the late eighteenth and early nineteenth centuries to the influential work of scholars such as Paul Samuelson and Kenneth J. Arrow. With a keen eye for how economic insights are acquired, lost, and reborn, Kurz focuses on the dynamic individuals who give old ideas new life and the historical events that provoke different approaches and theories. Over the course of this journey, Kurz explains what Adam Smith meant by the ""invisible hand""; how Karl Marx's ""law of motion"" works in capitalist economies; the roots of the Austrian economists' emphasis on the problems of information, incomplete knowledge, and uncertainty; John Maynard Keynes's principle of effective demand and economic stabilization; and the insights and challenges offered by growth theory, welfare economics, game theory, and more. He concludes with a deft summation of world economists' major concerns today and their critical relation to world events.","https://images-na.ssl-images-amazon.com/images/I/414n8OMhr7L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
Rome's Economic Revolution (Oxford Studies on the Roman Economy),Philip Kay,198788541,978-0198788546,Economics,"In this volume, Philip Kay examines economic change in Rome and Italy between the Second Punic War and the middle of the first century BC. He argues that increased inflows of bullion, in particular silver, combined with an expansion of the availability of credit to produce significant growth
in monetary liquidity. This, in turn, stimulated market developments, such as investment farming, trade, construction, and manufacturing, and radically changed the composition and scale of the Roman economy.

Using a wide range of evidence and scholarly investigation, Kay demonstrates how Rome, in the second and first centuries BC, became a coherent economic entity experiencing real per capita economic growth. Without an understanding of this economic revolution, the contemporaneous political and
cultural changes in Roman society cannot be fully comprehended or explained.","https://images-na.ssl-images-amazon.com/images/I/41Niqt+9uBL._SX330_BO1,204,203,200_.jpg"
Economics: Making Sense of the Modern Economy,"The Economist, Richard Davies",1610396154,978-1610396158,Economics,"The world of economics is changing. Years of turmoil in the global economy mean that nothing will ever be quite the same again. This is the starting point and theme of this radically revised Economist books classic, now available for the first time in America. Richard Davies, economics editor of The Economist , takes us on a journey through the paper's own analysis of the state of the world's economies, how we reached this point and what to expect in the next decade. He explores: what's gone wrong since 2008, why it's happened and how we can stop it happening again; the shifting focus of economics from banking to labor economics; the future hopes and challenges for the world economy. Along the way, we encounter the global economy laid bare, from banks, panics, and crashes to innovative new policies to improve how markets function; from discussions around jobs, pay, and inequality to the promise of innovation and productivity; from the implications of emerging markets and the globalisation of trade through to the sharing economy and the economics of Google and eBay. The result is a fascinating review of the global economy and the changing role of economics in the new world order.","https://images-na.ssl-images-amazon.com/images/I/41GaRZQjOxL._SX310_BO1,204,203,200_.jpg"
Economic Growth With Equity: Lessons from East Asia (Oxfam Insight),Kevin Watkins,855983841,978-0855983840,Economics,"This book looks at the lessons to be learned from the phenomenon of economic growth in East Asian countries. Alongside this growth, countries such as Indonesia, China, and South Korea made rapid progress in terms of human development indicators, and the percentage of the population living in poverty fell dramatically. How did these countries manage to combine growth with equity? Kevin Watkins examines the various social policies adopted by governments in the region, which enabled the benefits of growth and prosperity to be widely shared, while highlighting that not all the lessons are positive: some ethnic groups have been excluded from the general improvements in living standards, as have certain areas of particular countries. The financial turmoil in East Asia raises questions about the future of the ""tiger"" economies. The book looks critically at the possibilities of economic recovery, and whether or not the achievements of the past, in terms of poverty reduction, can be maintained.","https://images-na.ssl-images-amazon.com/images/I/4112QE3M5FL._SX326_BO1,204,203,200_.jpg"
Building Construction Illustrated 6th Edition,Francis D. K. Ching,111958308X,978-1119583080,Engineering,"The #1 visual guide to building construction principles, updated with the latest materials, methods, and systems For over four decades, Building Construction Illustrated has been the leading visual guide to the principles of building construction. Filled with rich illustrations and in-depth content by renowned author Francis D.K. Ching, it offers students and practicing professionals the information needed to understand concepts in residential and commercial construction, architecture, and structural engineering. This Sixth Edition of Building Construction Illustrated has been revised throughout to reflect the latest advancements in building design, materials, and systems, including resilient design, diagrids, modular foundation systems, smart fa ade systems, lighting sources, mass timber materials, and more. It features new illustrations and updated information on sustainability and green building, insulation materials, and fire-rated wall and floor assemblies. This respected, industry standard guide remains as relevant as ever, providing the latest in codes and standards requirements, including IBC, LEED, and CSI MasterFormat. This Sixth Edition: The leading illustrated guide to building construction fundamentals, written and detailed in Frank Ching's signature, illustrative style Includes all new sections on resilient design; diagrids; modular foundation systems; smart fa ade types and systems; lighting sources and systems; and mass timber materials, cross laminated timber (CLT) and nail laminated timber (NLT) Revised to reflect that latest updates in codes and standards requirements: 2018 International Building Code (IBC), LEED v4, and CSI MasterFormat 2018 Includes updated information on sustainability and green building; insulation materials; stair uses; stoves and inserts; and fire-rated wall and floor assemblies Offers instructors access to an Instructor's Manual with review questions Building Construction Illustrated, Sixth Edition is an excellent book for students in architecture, civil and structural engineering, construction management, and interior design programs. Ching communicates these core principles of building construction in a way that resonates with those beginning their education and those well into their careers looking to brush up on the basics. Building Construction Illustrated is a reliable, lifelong guide that practicing architects, engineers, construction managers, and interior designers, will turn to time and again throughout their careers.","https://images-na.ssl-images-amazon.com/images/I/41ZnJDcWYaS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"Black & Decker The Complete Guide to Wiring, Updated 7th Edition: Current with 2017-2020 Electrical Codes (Black & Decker Complete Guide)",Editors of Cool Springs Press,760353573,978-0760353578,Engineering,"BLACK+DECKER's latest edition of the best-selling home-improvement book in North America for more than a decade is completely updated to conform to 2017-2020 national electrical codes. For more than ten years, BLACK+DECKER The Complete Guide to Wiring has been the best-selling home wiring manual in North America. Now with more than two million copies in print, this is the home reference book more DIYers choose than any other for many reasons. As the most current wiring book on the market, you can be confident that your projects will meet national writing codes . You'll also spend more time on your project and less time scratching your head thanks to more than 800 clear color photos and over 40 diagrams that show you exactly what you need to know about home electrical service; all the most common circuits, all the most-needed techniques, all the most essential tools and materials. The information in this book has been created and reviewed by professional electricians under the watchful eye of the experts at BLACK+DECKER. You can find plenty of articles and videos about wiring online or in other publications, but only The Complete Guide to Wiring has passed the rigorous test to make it part of The Best DIY Series from the Brand You Trust.","https://images-na.ssl-images-amazon.com/images/I/51dKo4X5UzL._SX385_BO1,204,203,200_.jpg"
Illustrated Guide to the National Electrical Code (MindTap Course List) 8th Edition,Charles R. Miller,357371526,978-0357371527,Engineering,"This uniquely effective guide will help you master the 2020 National Electrical Code®. The author uses highly detailed, technically accurate illustrations to make even the most complex aspects of the code easier to understand and apply, translating the often complicated language of the 2020 NEC® into clear, simple instructions and helpful visuals. Organized logically to make learning easier, the text introduces you to fundamental concepts before progressing to requirements for various dwellings, from one-family homes to multi-family housing, commercial locations and special occupancies. In addition, a convenient, modular format makes it easy to reference relevant information whenever you need it. The Eighth Edition of this trusted resource provides detailed information on key updates and additions to the 2020 NEC, so you can confidently master the industry standards and best practices you'll need to know for career success. With comprehensive coverage, an innovative learning approach and accurate, up-to-date information, this indispensable guide is an ideal resource for students and professionals alike.","https://images-na.ssl-images-amazon.com/images/I/51rkytu5dRL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
INCOSE Systems Engineering Handbook: A Guide for System Life Cycle Processes and Activities 4th Edition,INCOSE ,1118999401,978-1118999400,Engineering,"A detailed and thorough reference on the discipline and practice of systems engineering The objective of the ""International Council on Systems Engineering (INCOSE) Systems Engineering Handbook"" is to describe key process activities performed by systems engineers and other engineering professionals throughout the life cycle of a system. The book covers a wide range of fundamental system concepts that broaden the thinking of the systems engineering practitioner, such as system thinking, system science, life cycle management, specialty engineering, system of systems, and agile and iterative methods. This book also defines the discipline and practice of systems engineering for students and practicing professionals alike, providing an authoritative reference that is acknowledged worldwide. The latest edition of the ""INCOSE Systems Engineering Handbook"" Is consistent with ISO/IEC/IEEE 15288:2015 Systems and software engineering--System life cycle processes and the Guide to the Systems Engineering Body of Knowledge (SEBoK) Has been updated to include the latest concepts of the INCOSE working groups Is the body of knowledge for the INCOSE Certification Process This book is ideal for any engineering professional who has an interest in or needs to apply systems engineering practices. This includes the experienced systems engineer who needs a convenient reference, a product engineer or engineer in another discipline who needs to perform systems engineering, a new systems engineer, or anyone interested in learning more about systems engineering.","https://images-na.ssl-images-amazon.com/images/I/41GvXHd3+EL._SX258_BO1,204,203,200_.jpg"
The Beginner's Guide to Engineering: Mechanical Engineering ,Mark Huber,1493506455,978-1493506453,Engineering,"The Beginner's Guide to Engineering series is designed to provide a very simple, non-technical introduction to the fields of engineering for people with no experience in the fields.Each book in the series focuses on introducing the reader to the various concepts in the fields of engineering conceptually rather than mathematically.These books are a great resource for high school students that are considering majoring in one of the engineering fields, or for anyone else that is curious about engineering but has no background in the field.Books in the series:1. The Beginner's Guide to Engineering: Chemical Engineering2. The Beginner's Guide to Engineering: Computer Engineering3. The Beginner's Guide to Engineering: Electrical Engineering4. The Beginner's Guide to Engineering: Mechanical Engineering","https://images-na.ssl-images-amazon.com/images/I/51IwUmDPXeL._SX384_BO1,204,203,200_.jpg"
The Beginner's Guide to Engineering: Electrical Engineering,Mary Ellen Latschar,1492986658, 978-1492986652,Engineering,"The Beginner's Guide to Engineering series is designed to provide a very simple, non-technical introduction to the fields of engineering for people with no experience in the fields.Each book in the series focuses on introducing the reader to the various concepts in the fields of engineering conceptually rather than mathematically.These books are a great resource for high school students that are considering majoring in one of the engineering fields, or for anyone else that is curious about engineering but has no background in the field.Books in the series:1. The Beginner's Guide to Engineering: Chemical Engineering2. The Beginner's Guide to Engineering: Computer Engineering3. The Beginner's Guide to Engineering: Electrical Engineering4. The Beginner's Guide to Engineering: Mechanical Engineering","https://images-na.ssl-images-amazon.com/images/I/51tO+NY63AL._SX389_BO1,204,203,200_.jpg"
